Chrom	Strand	Experiment_Left	Experiment_Right	Systematic ID	Common Name	NFR/NDR_Left	NFR/NDR_Right
chr16	-	582169	582818	YPR010C-A		582801	583062
chr13	+	854745	855394	YMR292W	GOT1	854329	854791
chr2	-	46527	47176	YBL091C-A	SCS22	47147	47381
chr13	-	789229	789878	YMR260C	TIF11	789815	790144
chr15	-	608580	609229	YOR148C	SPP2	609177	609456
chr3	-	73364	74021	YCL026C-B	HBN1	74054	74302
chr16	-	425257	425914	YPL067C		425871	426175
chr16	-	593297	593954	YPR017C	DSS4	593904	594118
chr15	+	642696	643361	YOR163W	DDP1	642384	642738
chr6	-	103834	104499	YFL017C	GNA1	104419	104696
chr6	-	152529	153194	YFR003C	YPI1	153116	153405
chr12	+	694326	694991	YLR275W	SMD2	694105	694361
chr3	+	200372	201039	YCR040W	MATALPHA1	199622	200372
chr3	+	13212	13879	YCL066W	HMLALPHA1	12462	13212
chr5	-	237469	238142	YER044C	ERG28	238083	238380
chr7	+	36920	37593	YGL247W	BRR6	36673	36965
chr11	-	429972	430653	YKL006C-A	SFT1	430606	430874
chr8	+	107758	108439	YHR001W-A	QCR10	107492	107784
chr10	+	555046	555727	YJR063W	RPA12	554296	555046
chr15	+	1025996	1026677	YOR367W	SCP1	1025782	1026027
chr4	-	565040	565721	YDR056C	EMC10	565660	565946
chr4	-	569152	569833	YDR059C	UBC5	569791	570022
chr15	-	315764	316445	YOL005C	RPB11	316457	316767
chr3	+	118603	119292	YCR003W	MRPL32	118349	118666
chr12	+	902838	903527	YLR390W	ECM19	902489	902924
chr7	+	905133	905822	YGR203W	YCH1	904383	905133
chr16	+	444525	445214	YPL059W	GRX5	444271	444548
chr9	+	46192	46889	YIL158W	AIM20	45879	46223
chr13	+	628137	628834	YMR184W	ADD37	627836	628190
chr4	-	1266280	1266977	YDR397C	NCB2	1266854	1267153
chr16	+	682181	682878	YPR067W	ISA2	681924	682202
chr16	+	730476	731173	YPR101W	SNT309	730125	730494
chr4	+	1222684	1223381	YDR373W	FRQ1	1222389	1222718
chr10	+	573174	573879	YJR074W	MOG1	572832	573197
chr15	-	126005	126710	YOL102C	TPT1	126648	127098
chr13	+	272112	272817	YMR002W	MIX17	271887	272202
chr15	+	77521	78226	YOL129W	VPS68	77271	77575
chr2	-	457721	458426	YBR109C	CMD1	458375	458675
chr5	-	122324	123037	YEL017C-A	PMP2	122981	123287
chr13	+	411529	412242	YMR072W	ABF2	411269	411611
chr3	-	74634	75355	YCL026C-A	FRM2	75397	75768
chr4	-	935204	935925	YDR236C	FMN1	935903	936133
chr7	+	475477	476206	YGL010W	MPO1	475230	475510
chr7	+	953943	954672	YGR232W	NAS6	953495	953995
chr11	+	330126	330855	YKL058W	TOA2	329923	330179
chr11	-	212321	213050	YKL122C	SRP21	212983	213271
chr14	-	667413	668142	YNR020C	ATP23	668075	668397
chr15	-	552228	552957	YOR122C	PFY1	552854	553172
chr7	-	694418	695147	YGR102C	GTF1	695103	695422
chr7	+	144708	145445	YGL191W	COX13	144375	144740
chr15	+	472671	473408	YOR078W	BUD21	472324	472744
chr9	-	116940	117677	YIL127C	RRT14	117624	117989
chr10	+	227275	228012	YJL104W	PAM16	227031	227335
chr7	-	1025927	1026672	YGR268C	HUA1	1026647	1026945
chr10	-	471074	471827	YJR025C	BNA1	471813	472238
chr12	-	644338	645091	YLR254C	NDL1	645025	645380
chr10	+	612291	613044	YJR097W	JJJ3	612058	612358
chr11	+	507913	508666	YKR035W-A	DID2	507677	507965
chr7	-	122617	123370	YGL200C	EMP24	123282	123637
chr12	-	39685	40438	YLL050C	COF1	40366	40690
chr11	+	179630	180391	YKL141W	SDH3	179413	179691
chr8	-	401938	402699	YHR153C	SPO16	402653	402977
chr10	-	572210	572971	YJR073C	OPI3	573015	573377
chr11	-	407356	408117	YKL016C	ATP7	408037	408493
chr12	-	539826	540587	YLR193C	UPS1	540522	540821
chr14	+	58120	58881	YNL306W	MRPS18	57901	58159
chr9	+	321226	321987	YIL016W	SNL1	320994	321234
chr4	+	442987	443756	YDL004W	ATP16	442632	443014
chr10	-	101080	101849	YJL170C	ASG7	101814	102051
chr12	-	500322	501091	YLR170C	APS1	501044	501324
chr14	+	378704	379473	YNL131W	TOM22	378478	378780
chr4	+	693454	694223	YDR121W	DPB4	693205	693487
chr3	-	199476	200248	YCR039C	MATALPHA2	200248	200998
chr3	-	12316	13088	YCL067C	HMLALPHA2	13088	13838
chr7	-	835985	836762	YGR169C-A	LSO2	836679	837119
chr6	-	55261	56038	YFL038C	YPT1	55968	56357
chr15	+	943621	944398	YOR332W	VMA4	943353	943675
chr16	+	212105	212882	YPL178W	CBC2	211870	212182
chr2	+	146115	146900	YBL038W	MRPL16	145748	146158
chr10	+	360228	361013	YJL043W		359673	360172
chr13	+	777937	778722	YMR255W	GFD1	777730	778006
chr4	-	964020	964805	YDR253C	MET32	964767	965089
chr7	+	123581	124366	YGL198W	YIP4	123282	123637
chr13	+	246088	246873	YML012W	ERV25	245806	246112
chr14	+	699681	700466	YNR040W		699431	699729
chr4	-	1276584	1277369	YDR404C	RPB7	1277291	1277661
chr12	-	861515	862300	YLR370C	ARC18	862235	862536
chr12	-	668174	668961	YLR262C	YPT6	668913	669221
chr12	-	964830	965623	YLR421C	RPN13	965531	965825
chr16	+	465885	466678	YPL047W	SGF11	465597	465912
chr2	+	578324	579125	YBR171W	SEC66	578064	578371
chr15	+	55538	56339	YOL142W	RRP40	55343	55575
chr15	+	502696	503497	YOR094W	ARF3	502468	502738
chr15	-	54542	55351	YOL143C	RIB4	55343	55575
chr8	+	267478	268287	YHR081W	LRP1	267262	267544
chr15	+	70281	71090	YOL133W	HRT1	70019	70323
chr15	+	471863	472672	YOR077W	RTS2	471614	471902
chr16	+	911222	912031	YPR187W	RPO26	910990	911263
chr5	-	150221	151030	YEL001C	IRC22	150962	151339
chr11	-	417260	418069	YKL013C	ARC19	417998	418276
chr5	+	177761	178578	YER012W	PRE1	177544	177825
chr3	-	248032	248849	YCR075C	ERS1	248764	249011
chr13	-	658429	659246	YMR197C	VTI1	659189	659511
chr4	+	1055152	1055969	YDR296W	MHR1	1054887	1055205
chr5	+	100696	101513	YEL027W	VMA3	99946	100696
chr14	+	545194	546011	YNL044W	YIP3	544951	545242
chr16	+	153449	154266	YPL211W	NIP7	153105	153491
chr4	-	1292328	1293153	YDR410C	STE14	1293082	1293418
chr13	-	721621	722446	YMR226C		722379	722640
chr5	+	156769	157594	YER002W	NOP16	156478	156814
chr13	+	267080	267905	YML001W	YPT7	266786	267112
chr7	-	531818	532643	YGR024C	THG1	532573	532877
chr11	-	570141	570966	YKR068C	BET3	570910	571153
chr14	-	246381	247206	YNL213C	RRG9	247151	247434
chr4	+	954272	955105	YDR246W	TRS23	954038	954319
chr12	+	680142	680975	YLR268W	SEC22	679905	680204
chr16	+	752220	753053	YPR113W	PIS1	751917	752259
chr3	+	214053	214886	YCR051W		213809	214105
chr14	+	259545	260386	YNL202W	SPS19	259285	259569
chr5	-	172549	173390	YER010C		173320	173643
chr11	-	438660	439501	YKL001C	MET14	439470	439810
chr2	+	435940	436781	YBR096W		435688	435970
chr14	-	166981	167822	YNL255C	GIS2	167792	168097
chr14	-	291932	292773	YNL185C	MRPL19	292707	293011
chr15	-	60269	61110	YOL139C	CDC33	61056	61389
chr2	+	707316	708165	YBR244W	GPX2	707030	707364
chr4	+	452979	453828	YDR002W	YRB1	452709	453068
chr10	+	191616	192465	YJL118W		191320	191716
chr13	+	667473	668322	YMR202W	ERG2	667247	667535
chr2	-	727304	728153	YBR256C	RIB5	728099	728376
chr2	-	306139	306988	YBR035C	PDX3	306941	307162
chr12	-	719586	720435	YLR292C	SEC72	720364	720653
chr13	-	896805	897654	YMR311C	GLC8	897592	897838
chr15	-	69245	70094	YOL135C	MED7	70019	70323
chr15	-	745523	746373	YOR214C	SPR2	746408	746802
chr4	-	1288080	1288937	YDR408C	ADE8	1288876	1289134
chr5	-	213925	214782	YER031C	YPT31	214736	215036
chr11	-	74754	75611	YKL196C	YKT6	75546	75836
chr13	-	858101	858958	YMR295C		858919	859268
chr8	-	150436	151293	YHR022C-A		151221	151627
chr9	-	88884	89741	YIL138C	TPM2	89691	89961
chr2	-	79903	80767	YBL078C	ATG8	80711	81023
chr9	-	87868	88733	YIL139C	REV7	88704	89071
chr14	-	416668	417533	YNL111C	CYB5	417533	417841
chr9	+	381059	381924	YIR014W		380844	381099
chr9	-	414895	415768	YIR032C	DAL3	415652	416094
chr7	+	591174	592047	YGR049W	SCM4	590977	591209
chr15	+	109113	109986	YOL110W	SHR5	108885	109178
chr16	+	499595	500472	YPL027W	SMA1	499266	499593
chr10	+	333332	334213	YJL055W		333098	333394
chr4	-	300140	301021	YDL087C	LUC7	300970	301219
chr12	-	669162	670043	YLR262C-A	TMA7	670030	670262
chr4	-	503945	504826	YDR032C	PST2	504834	505112
chr7	-	961250	962131	YGR235C	MIC26	962058	962333
chr10	-	315648	316529	YJL063C	MRPL8	316453	316752
chr9	+	323322	324211	YIL015W	BAR1	321934	322244
chr10	-	458586	459475	YJR011C		459423	459829
chr15	-	47790	48679	YOL147C	PEX11	48630	48903
chr12	-	46644	47533	YLL046C	RNP1	47538	47964
chr10	+	147058	147947	YJL143W	TIM17	146783	147114
chr7	-	936019	936908	YGR220C	MRPL9	936849	937124
chr12	+	640262	641151	YLR250W	SSP120	640065	640311
chr4	+	629806	630695	YDR092W	UBC13	629604	629859
chr4	+	98423	99320	YDL202W	MRPL11	98102	98479
chr12	+	840255	841152	YLR356W	ATG33	840011	840268
chr16	+	138633	139530	YPL218W	SAR1	138391	138680
chr15	-	681284	682181	YOR185C	GSP2	682176	682491
chr4	-	613177	614075	YDR084C	TVP23	613998	614284
chr8	+	499043	499948	YHR200W	RPN10	498841	499121
chr13	-	168948	169853	YML053C		169770	170136
chr7	+	393916	394821	YGL058W	RAD6	393664	393981
chr11	+	426160	427065	YKL009W	MRT4	425944	426245
chr2	-	150327	151232	YBL036C		151192	151512
chr4	-	1125181	1126086	YDR328C	SKP1	1126013	1126301
chr16	-	741272	742177	YPR107C	YTH1	742122	742400
chr4	+	301392	302305	YDL086W		300642	301392
chr7	+	312159	313072	YGL101W		311851	312216
chr4	-	333060	333973	YDL069C	CBS1	333883	334364
chr4	-	957524	958437	YDR248C		958370	958610
chr8	-	282458	283371	YHR089C	GAR1	283294	283633
chr13	-	534741	535654	YMR132C	JLP2	535654	535866
chr5	+	281634	282547	YER063W	THO1	281343	281646
chr7	-	998288	999201	YGR253C	PUP2	999133	999416
chr7	+	435555	436471	YGL033W	HOP2	435259	435601
chr8	+	362069	362990	YHR128W	FUR1	361723	362068
chr11	+	278062	278983	YKL086W	SRX1	277312	278062
chr11	+	307206	308127	YKL069W		307044	307342
chr15	+	412705	413626	YOR044W	IRC23	412464	412774
chr15	-	605284	606205	YOR145C	PNO1	606163	606610
chr7	-	474353	475282	YGL011C	SCL1	475230	475510
chr11	-	320802	321731	YKL063C		321636	322004
chr7	+	888765	889694	YGR195W	SKI6	888566	888801
chr15	-	108125	109054	YOL111C	MDY2	109054	109178
chr4	-	263244	264181	YDL111C	RRP42	264104	264495
chr4	-	422647	423584	YDL018C	ERP3	423520	423770
chr7	+	761325	762262	YGR135W	PRE9	761087	761370
chr12	+	523574	524511	YLR186W	EMG1	523143	523619
chr16	-	255885	256830	YPL156C	PRM4	256830	256968
chr4	+	812086	813031	YDR174W	HMO1	811947	812185
chr3	-	43508	44453	YCL047C	POF1	44433	44812
chr16	-	830722	831667	YPR151C	SUE1	831608	832205
chr8	+	422630	423575	YHR162W	MPC2	422435	422665
chr4	+	148151	149096	YDL173W	PAR32	147941	148207
chr4	+	1277580	1278525	YDR405W	MRP20	1277291	1277661
chr7	+	939927	940872	YGR222W	PET54	939625	939958
chr16	-	481065	482010	YPL037C	EGD1	481910	482273
chr14	+	250861	251813	YNL210W	MER1	250736	250926
chr1	+	79693	80646	YAL034W-A	MTW1	79401	79730
chr13	+	323209	324162	YMR025W	CSI1	322459	323209
chr15	-	844895	845848	YOR280C	FSH3	845780	846190
chr4	+	1008952	1009905	YDR272W	GLO2	1008514	1008978
chr10	+	615486	616439	YJR099W	YUH1	615199	615447
chr16	+	100440	101393	YPL237W	SUI3	100171	100508
chr7	-	698898	699851	YGR106C	VOA1	699772	700137
chr8	-	188924	189877	YHR041C	SRB2	189831	190185
chr12	-	724506	725459	YLR298C	YHC1	725381	725620
chr15	-	372541	373494	YOR021C	SFM1	373433	373745
chr10	-	186853	187813	YJL124C	LSM1	187757	188050
chr8	+	353557	354518	YHR122W	CIA2	353191	353624
chr16	+	818286	819247	YPR143W	RRP15	818031	818346
chr11	-	277002	277963	YKL087C	CYT2	277915	278248
chr8	+	360877	361838	YHR127W		360625	360926
chr7	-	842673	843634	YGR172C	YIP1	843567	843847
chr11	-	450292	451253	YKR006C	MRPL13	451191	451468
chr13	+	537785	538754	YMR134W	ERG29	537512	537826
chr12	-	720538	721507	YLR293C	GSP1	721507	721932
chr14	-	103094	104063	YNL284C	MRPL10	104017	104323
chr16	-	728624	729593	YPR098C		729514	729815
chr7	+	832381	833350	YGR167W	CLC1	832154	832443
chr4	+	125546	126519	YDL186W		125374	125633
chr15	+	807201	808177	YOR255W	OSW1	806995	807313
chr7	+	532915	533891	YGR026W		532573	532877
chr7	+	31880	32857	YGL250W	RMR1	31648	31934
chr5	-	538329	539306	YER174C	GRX4	539270	539555
chr5	+	58320	59297	YEL051W	VMA8	58073	58384
chr11	-	175594	176571	YKL144C	RPC25	176491	176777
chr12	-	667986	668963	YLR261C	VPS63	668913	669221
chr10	+	640755	641734	YJR116W	TDA4	640361	640868
chr4	-	218380	219365	YDL135C	RDI1	219304	219559
chr3	+	246932	247917	YCR073W-A	SOL2	246589	247001
chr15	+	759752	760737	YOR223W	DSC3	759347	759803
chr15	-	630852	631837	YOR157C	PUP1	631762	632172
chr8	+	160704	161689	YHR026W	VMA16	160471	160771
chr15	-	850879	851864	YOR287C	RRP36	851819	852117
chr2	-	266442	267428	YBR014C	GRX7	267341	267640
chr10	+	528662	529655	YJR050W	ISY1	528458	528727
chr11	+	487728	488721	YKR025W	RPC37	487365	487790
chr12	+	168977	169970	YLR011W	LOT6	168172	169055
chr11	+	82910	83903	YKL190W	CNB1	82626	82964
chr15	+	144177	145170	YOL092W	YPQ1	143928	144223
chr4	-	1058004	1058997	YDR298C	ATP5	1058927	1059186
chr7	+	750373	751374	YGR129W	SYF2	750083	750397
chr13	+	366969	367970	YMR048W	CSM3	366714	367010
chr6	+	153349	154358	YFR004W	RPN11	153116	153405
chr15	-	874359	875368	YOR297C	TIM18	875289	875596
chr6	-	222020	223029	YFR032C	RRT5	222956	223422
chr7	+	560526	561535	YGR038W	ORM1	560175	560565
chr11	+	360055	361064	YKL041W	VPS24	359817	360067
chr14	-	58820	59829	YNL305C	BXI1	59778	60034
chr6	-	43468	44477	YFL045C	SEC53	44421	44722
chr16	-	592185	593194	YPR016C	TIF6	593129	593434
chr12	-	407213	408225	YLR132C	USB1	408158	408442
chr8	+	131977	132992	YHR014W	SPO13	131707	132041
chr2	+	728844	729861	YBR257W	POP4	728630	728904
chr10	+	435117	436134	YJL001W	PRE3	434909	435161
chr2	-	783615	784632	YBR291C	CTP1	784600	784885
chr12	-	746586	747603	YLR307C-A		747551	747882
chr6	+	252469	253486	YFR052W	RPN12	252221	252529
chr9	+	349067	350084	YIL003W	CFD1	348880	349116
chr15	-	185781	186798	YOL077C	BRX1	186729	187046
chr5	+	131640	132657	YEL012W	UBC8	131413	131702
chr1	+	73933	74958	YAL037W		73519	73874
chr5	+	366772	367797	YER104W	RTT105	366427	366823
chr15	+	34401	35426	YOL154W	ZPS1	34118	34369
chr12	+	194375	195400	YLR025W	SNF7	194173	194444
chr4	-	362604	363629	YDL052C	SLC1	363571	363937
chr13	-	391509	392534	YMR060C	SAM37	392487	392777
chr5	+	465101	466126	YER148W	SPT15	464851	465140
chr2	+	316898	317934	YBR040W	FIG1	316565	316850
chr15	-	516356	517397	YOR103C	OST2	517455	517684
chr2	+	568772	569813	YBR165W	UBS1	568504	568792
chr3	-	64580	65621	YCL031C	RRP7	65547	65822
chr5	-	207517	208558	YER026C	CHO1	208558	208793
chr6	-	248897	249938	YFR050C	PRE4	249850	250173
chr12	-	829355	830396	YLR351C	NIT3	830348	830542
chr13	+	560937	561978	YMR149W	SWP1	560626	560985
chr14	-	258305	259347	YNL204C	SPS18	259285	259569
chr5	+	372256	373304	YER106W	MAM1	371990	372292
chr3	+	27896	28945	YCL055W	KAR4	27530	27963
chr13	+	898281	899330	YMR312W	ELP6	897592	898420
chr16	+	150569	151618	YPL213W	LEA1	150244	150609
chr3	-	117359	118408	YCR002C	CDC10	118349	118666
chr8	-	167556	168605	YHR029C	YHI9	168527	168989
chr11	-	360827	361876	YKL040C	NFU1	361829	362101
chr7	-	647042	648091	YGR084C	MRP13	648037	648293
chr4	+	42655	43712	YDL230W	PTP1	42304	42713
chr5	+	228393	229450	YER038W-A	FMP49	228201	228473
chr8	+	209551	210608	YHR050W-A		209280	209588
chr13	-	55220	56277	YML107C	PML39	56229	56547
chr13	-	814309	815366	YMR274C	RCE1	815285	815553
chr6	+	130149	131206	YFL005W	SEC4	129891	130183
chr8	+	272614	273671	YHR083W	SAM35	272354	272656
chr7	-	52548	53605	YGL237C	HAP2	53584	53849
chr11	-	524029	525086	YKR046C	PET10	525055	525492
chr15	-	126949	128006	YOL101C	IZH4	128050	128305
chr16	-	407761	408818	YPL078C	ATP4	408769	409084
chr4	-	1223404	1224464	YDR374C	PHO92	1224485	1224788
chr12	-	156709	157774	YLR003C	CMS1	157716	158011
chr2	-	567488	568553	YBR164C	ARL1	568504	568792
chr14	-	33205	34270	YNL322C	KRE1	34192	34523
chr8	+	281462	282527	YHR088W	RPF1	281202	281506
chr4	+	255534	256600	YDL114W		255114	255548
chr4	-	425932	427004	YDL015C	TSC13	426916	427270
chr3	-	130543	131616	YCR009C	RVS161	131531	131821
chr13	-	864341	865414	YMR299C	DYN3	865305	865652
chr2	+	582388	583461	YBR175W	SWD3	582148	582433
chr7	+	754157	755230	YGR131W	FHN1	753912	754205
chr14	+	485521	486594	YNL075W	IMP4	485284	485593
chr14	-	693005	694078	YNR035C	ARC35	694022	694333
chr12	+	747867	748945	YLR308W	CDA2	747551	747882
chr4	+	1020616	1021697	YDR280W	RRP45	1020383	1020675
chr14	+	214881	215962	YNL232W	CSL4	214579	214927
chr15	+	468167	469248	YOR075W	UFE1	467991	468223
chr15	+	1009980	1011061	YOR358W	HAP5	1009690	1009945
chr14	-	626109	627190	YNL002C	RLP7	627117	627447
chr12	+	705116	706200	YLR283W		704809	705209
chr8	+	412326	413415	YHR157W	REC104	412229	412409
chr14	+	449736	450825	YNL093W	YPT53	449387	449811
chr15	+	632144	633233	YOR158W	PET123	631762	632172
chr4	+	363912	365001	YDL051W	LHP1	363571	363937
chr13	+	832257	833346	YMR281W	GPI12	832000	832287
chr14	+	37625	38714	YNL320W		37410	37673
chr12	-	259475	260564	YLR059C	REX2	260492	260982
chr10	+	196209	197306	YJL115W	ASF1	195948	196246
chr4	-	343980	345077	YDL059C	RAD59	345032	345403
chr7	-	1050655	1051752	YGR280C	PXR1	1051682	1052009
chr2	+	535197	536294	YBR146W	MRPS9	534952	535250
chr14	+	456400	457497	YNL090W	RHO2	456120	456459
chr16	+	875142	876239	YPR165W	RHO1	874836	875196
chr2	-	494281	495378	YBR129C	OPY1	495318	495627
chr7	+	641982	643079	YGR080W	TWF1	641762	642026
chr2	+	161675	162780	YBL031W	SHE1	161273	161723
chr4	+	1417340	1418445	YDR480W	DIG2	1417122	1417361
chr3	-	210545	211650	YCR047C	BUD23	211582	211894
chr16	+	107112	108217	YPL232W	SSO1	106731	107159
chr15	-	898873	899978	YOR311C	DGK1	899911	900275
chr2	-	241497	242602	YBR002C	RER2	242515	242833
chr5	+	359284	360397	YER100W	UBC6	359042	359288
chr10	+	623535	624648	YJR105W	ADO1	623256	623595
chr2	-	614768	615881	YBR197C		615816	616127
chr6	-	224880	225993	YFR034C	PHO4	225950	226264
chr12	-	178581	179694	YLR018C	POM34	179594	180073
chr2	+	782563	783676	YBR290W	BSD2	782326	782631
chr12	+	1014426	1015539	YLR439W	MRPL4	1014192	1014496
chr16	-	250669	251782	YPL159C	PET20	251733	252077
chr1	-	100057	101170	YAL025C	MAK16	101136	101452
chr8	-	53134	54248	YHL026C		54288	54587
chr1	-	118494	119611	YAL018C	LDS1	119590	119917
chr3	+	193261	194382	YCR036W	RBK1	192993	193333
chr8	-	283538	284659	YHR090C	YNG2	284583	284883
chr15	-	711508	712629	YOR194C	TOA1	712538	712845
chr11	+	263326	264447	YKL094W	YJU3	263120	263383
chr15	+	817243	818364	YOR262W	GPN2	817007	817279
chr5	-	228389	229510	YER039C	HVG1	229457	229743
chr7	+	523622	524751	YGR017W		523377	523666
chr12	+	164385	165514	YLR007W	NSE1	164028	164415
chr14	+	48257	49386	YNL312W	RFA2	47993	48301
chr2	-	337197	338326	YBR050C	REG2	338264	338676
chr7	-	1058951	1060080	YGR283C		1060020	1060316
chr3	+	61616	62745	YCL034W	LSB5	61395	61663
chr2	-	256901	258030	YBR011C	IPP1	257970	258282
chr14	+	359560	360697	YNL141W	AAH1	359218	359544
chr2	+	125051	126188	YBL050W	SEC17	124776	125094
chr4	+	1169074	1170211	YDR347W	MRP1	1168797	1169119
chr11	+	500081	501218	YKR030W	GMH1	499808	500034
chr16	+	39040	40177	YPL266W	DIM1	38809	39110
chr16	+	554589	555726	YPL001W	HAT1	554335	554605
chr2	-	339637	340774	YBR053C		340744	341020
chr15	-	815918	817056	YOR261C	RPN8	817007	817279
chr7	+	291919	293064	YGL115W	SNF4	291681	291961
chr4	-	1195160	1196305	YDR361C	BCP1	1196263	1196565
chr16	-	563961	565106	YPR004C	AIM45	565010	565326
chr12	+	264231	265384	YLR063W	BMT6	263789	264274
chr13	+	30584	31737	YML119W		30278	30560
chr13	+	56472	57625	YML106W	URA5	56229	56547
chr8	-	33054	34207	YHL034C	SBP1	34144	34417
chr15	-	744244	745397	YOR213C	SAS5	745355	745616
chr2	+	602508	603661	YBR187W	GDT1	602196	602556
chr5	+	159337	160490	YER004W	FMP52	159112	159376
chr16	+	792662	793815	YPR129W	SCD6	792421	792702
chr16	-	890962	892115	YPR176C	BET2	892067	892338
chr2	+	315495	316656	YBR039W	ATP3	315253	315551
chr15	-	830911	832072	YOR271C	FSF1	832045	832433
chr14	+	14762	15924	YNL332W	THI12	14020	14807
chr4	+	842303	843472	YDR191W	HST4	841976	842352
chr7	-	199080	200249	YGL161C	YIP5	200191	200463
chr16	-	553217	554386	YPL002C	SNF8	554335	554605
chr13	-	468375	469546	YMR101C	SRT1	469534	469933
chr5	+	13568	14745	YEL072W	RMD6	13309	13657
chr7	+	313191	314368	YGL100W	SEH1	312981	313244
chr16	-	695697	696874	YPR075C	OPY2	696831	697146
chr7	-	248424	249601	YGL138C		249562	249892
chr7	+	532830	534007	YGR025W		532573	532877
chr11	+	402368	403545	YKL019W	RAM2	402065	402370
chr12	+	871623	872800	YLR375W	STP3	871352	871692
chr14	-	146805	147982	YNL263C	YIF1	147947	148243
chr2	+	479261	480446	YBR119W	MUD1	479189	479347
chr2	+	449580	450765	YBR104W	YMC2	449270	449590
chr4	-	715458	716643	YDR130C	FIN1	716610	716872
chr10	-	635705	636890	YJR111C	PXP2	636775	637064
chr8	+	187896	189081	YHR040W	BCD1	187644	187952
chr13	+	407761	408946	YMR069W	NAT4	407495	407822
chr14	-	303476	304661	YNL177C	MRPL22	304599	304904
chr15	-	1017720	1018905	YOR362C	PRE10	1018905	1019018
chr7	+	417462	418654	YGL043W	DST1	417200	417490
chr11	+	235957	237150	YKL107W		235890	236067
chr12	+	745438	746631	YLR307W	CDA1	745190	745568
chr12	-	560570	561763	YLR209C	PNP1	561709	561977
chr13	-	500741	501934	YMR117C	SPC24	501874	502177
chr10	-	603087	604280	YJR093C	FIP1	604217	604522
chr13	-	179947	181145	YML047C	PRM6	181149	181591
chr15	-	116326	117524	YOL104C	NDJ1	117430	117676
chr2	+	192381	193582	YBL016W	FUS3	192025	192401
chr16	+	147393	148594	YPL215W	CBP3	147115	147438
chr11	-	591381	592582	YKR081C	RPF2	592517	592825
chr12	-	538450	539651	YLR192C	HCR1	539626	539934
chr2	+	390157	391361	YBR076W	ECM8	389881	390132
chr3	+	238893	240102	YCR069W	CPR4	238654	238961
chr13	-	626701	627910	YMR183C	SSO2	627836	628190
chr15	-	959049	960258	YOR340C	RPA43	960191	960484
chr12	+	987010	988219	YLR426W	TDA5	986835	987101
chr13	+	664633	665842	YMR200W	ROT1	664382	664670
chr7	-	755321	756530	YGR132C	PHB1	756457	756722
chr13	-	557397	558606	YMR146C	TIF34	558515	558837
chr8	-	314785	315994	YHR101C	BIG1	315978	316199
chr16	+	264958	266174	YPL152W	RRD2	264724	264989
chr15	-	78261	79478	YOL128C	YGK3	79425	79780
chr11	+	262110	263327	YKL095W	YJU2	261870	262162
chr13	+	26808	28025	YML121W	GTR1	26419	26922
chr7	-	833329	834546	YGR168C		834464	834771
chr16	-	162453	163670	YPL206C	PGC1	163608	163876
chr2	-	646024	647241	YBR211C	AME1	647191	647497
chr3	-	288088	289305	YCR095C	OCA4	289266	289532
chr4	-	198563	199780	YDL144C		199715	200006
chr10	-	586202	587419	YJR088C	EMC2	587365	587639
chr12	-	326283	327500	YLR093C	NYV1	327449	327749
chr14	-	299636	300861	YNL180C	RHO5	300791	301079
chr4	+	138103	139328	YDL179W	PCL9	137817	138116
chr14	+	280369	281594	YNL191W	DUG3	280139	280413
chr11	-	566005	567230	YKR066C	CCP1	567155	567426
chr12	-	16516	17741	YLL062C	MHT1	17686	17973
chr12	-	674306	675531	YLR265C	NEJ1	675449	675720
chr3	+	309000	310225	YCR105W	ADH7	308771	309005
chr2	+	595908	597133	YBR183W	YPC1	595520	595926
chr10	+	450910	452135	YJR007W	SUI2	450638	450965
chr4	-	86035	87260	YDL209C	CWC2	87204	87539
chr12	-	469247	470475	YLR155C	ASP3-1	470475	471225
chr12	-	472899	474127	YLR157C	ASP3-2	474127	474877
chr12	-	482479	483707	YLR158C	ASP3-3	483707	484457
chr12	-	486131	487359	YLR160C	ASP3-4	487359	488109
chr3	+	313820	315051	YCR107W	AAD3	313573	313967
chr7	-	952340	953572	YGR231C	PHB2	953495	953772
chr7	+	76802	78035	YGL225W	VRG4	76465	76884
chr7	+	513142	514375	YGR012W	MCY1	512901	513191
chr7	+	780165	781398	YGR144W	THI4	779916	780201
chr15	+	682384	683617	YOR186W		682176	682491
chr2	-	368514	369748	YBR065C	ECM2	369689	370022
chr15	+	307888	309129	YOL010W	RCL1	307600	307938
chr10	-	117873	119114	YJL160C	PIR5	119117	119438
chr9	-	210807	212048	YIL079C	AIR1	211989	212505
chr8	+	210807	212056	YHR052W	CIC1	210509	210864
chr9	+	166315	167564	YIL106W	MOB1	165893	166368
chr10	-	576986	578235	YJR077C	MIR1	578157	578442
chr4	-	1317992	1319241	YDR423C	CAD1	1319195	1319503
chr4	-	1030484	1031733	YDR284C	DPP1	1031683	1032061
chr12	-	1026710	1027959	YLR447C	VMA6	1027892	1028159
chr16	-	745624	746873	YPR110C	RPC40	746786	747062
chr4	+	1338204	1339456	YDR438W	THI74	1337829	1338257
chr4	+	1110575	1111832	YDR322W	MRPL35	1110368	1110613
chr12	+	440311	441568	YLR150W	STM1	439561	440311
chr4	-	680474	681731	YDR113C	PDS1	681661	681911
chr13	-	522189	523446	YMR127C	SAS2	523395	523696
chr16	-	120172	121429	YPL227C	ALG5	121488	121770
chr8	-	248442	249699	YHR075C	PPE1	249649	249903
